Date,Open,High,Low,Close,Adj Close,Volume
12/16/2015,119.800003,123,118.089996,122.639999,122.639999,13181000
12/17/2015,123.970001,126.349998,122.419998,122.510002,122.510002,17284900
12/18/2015,120.849998,122.190002,117.919998,118.019997,118.019997,17948100
12/21/2015,119.510002,119.589996,115.660004,116.629997,116.629997,11670000
12/22/2015,117.300003,117.43,114.860001,116.239998,116.239998,9689000
12/23/2015,116.910004,118.559998,115.779999,118.160004,118.160004,9324300
12/24/2015,118.220001,118.800003,117.300003,117.330002,117.330002,3531300
12/28/2015,117.260002,117.349998,113.849998,117.110001,117.110001,8424300
12/29/2015,118.190002,119.599998,116.919998,119.120003,119.120003,8159200
12/30/2015,118.949997,119.019997,116.43,116.709999,116.709999,8149700
12/31/2015,116.209999,117.459999,114.279999,114.379997,114.379997,9273000
1/4/2016,109,110,105.209999,109.959999,109.959999,20794800
1/5/2016,110.449997,110.580002,105.849998,107.660004,107.660004,17664600
1/6/2016,105.290001,117.910004,104.959999,117.68,117.68,33045700
1/7/2016,116.360001,122.18,112.290001,114.559998,114.559998,33636700
1/8/2016,116.330002,117.720001,111.099998,111.389999,111.389999,18067100
1/11/2016,112.129997,116.790001,111.199997,114.970001,114.970001,21920400
1/12/2016,116.110001,117.779999,115.080002,116.580002,116.580002,15133500
1/13/2016,114.43,114.480003,104.529999,106.559998,106.559998,24921600
1/14/2016,105.650002,109.25,101.209999,107.059998,107.059998,23664800
1/15/2016,102.43,105.5,101.720001,104.040001,104.040001,19775100
1/19/2016,106.57,110.139999,105.550003,107.889999,107.889999,35722800
1/20/2016,108.910004,109.989998,97.050003,107.739998,107.739998,53009400
1/21/2016,108.32,108.510002,102.099998,102.349998,102.349998,31027500
1/22/2016,104.720001,104.989998,99.220001,100.720001,100.720001,26821800
1/25/2016,99.779999,102.68,99,99.120003,99.120003,20321100
1/26/2016,99.739998,100.550003,94.849998,97.830002,97.830002,22083900
1/27/2016,96.610001,97.849998,90.589996,91.150002,91.150002,25556200
1/28/2016,93.839996,95.25,90.110001,94.410004,94.410004,24562300
1/29/2016,92,94.389999,90.629997,91.839996,91.839996,20463900
2/1/2016,91.790001,97.18,91.300003,94.089996,94.089996,19684500
2/2/2016,95.540001,96.650002,90.730003,91.489998,91.489998,21906500
2/3/2016,92.410004,92.690002,86.139999,90.739998,90.739998,27466000
2/4/2016,89.5,91.25,86.540001,89.709999,89.709999,19108600
2/5/2016,88.230003,88.949997,81.860001,82.790001,82.790001,25929300
2/8/2016,80.57,84.699997,79.949997,83.32,83.32,25035600
2/9/2016,81.75,88.400002,81.550003,86.129997,86.129997,25892900
2/10/2016,89,92.209999,87.419998,88.449997,88.449997,23146500
2/11/2016,87.419998,88.389999,82.910004,86.349998,86.349998,21820300
2/12/2016,86.639999,89.720001,85.260002,87.400002,87.400002,19067700
2/16/2016,89,90.139999,87.540001,89.050003,89.050003,16356600
2/17/2016,90.129997,94.769997,89.639999,94.760002,94.760002,18323800
2/18/2016,94.800003,94.900002,90.309998,90.489998,90.489998,17695300
2/19/2016,89.980003,91.400002,88.029999,89.230003,89.230003,14259200
2/22/2016,90.75,93.110001,88.300003,91.93,91.93,16321800
2/23/2016,91.400002,92.489998,89.050003,89.120003,89.120003,12744400
2/24/2016,88.5,91.760002,86.699997,91.610001,91.610001,15972800
2/25/2016,91.080002,94.809998,90.209999,94.529999,94.529999,17898800
2/26/2016,95.300003,97.480003,94.25,94.790001,94.790001,16975200
2/29/2016,94.809998,97.199997,93.339996,93.410004,93.410004,13663100
3/1/2016,94.580002,99.160004,93.610001,98.300003,98.300003,17048800
3/2/2016,98.010002,99.480003,95.900002,97.610001,97.610001,19102800
3/3/2016,97.830002,98.349998,95.389999,97.93,97.93,15320900
3/4/2016,98.760002,102.220001,98.32,101.580002,101.580002,23414600
3/7/2016,101,101.790001,95.25,95.489998,95.489998,23855200
3/8/2016,95,98.279999,94.5,96.230003,96.230003,14797000
3/9/2016,96.82,98.370003,95,98,98,12298700
3/10/2016,98.18,99.739998,95.449997,97.360001,97.360001,17002100
3/11/2016,99.510002,99.599998,96.050003,97.660004,97.660004,15114300
3/14/2016,97.199997,99.419998,97.169998,98.129997,98.129997,11251900
3/15/2016,97.870003,98.510002,96.43,97.860001,97.860001,9691800
3/16/2016,97.529999,99.730003,97.5,99.349998,99.349998,12630500
3/17/2016,99.050003,101.389999,99,99.720001,99.720001,13825000
3/18/2016,100.5,102.410004,100.010002,101.120003,101.120003,15453500
